COA ID,Related Batch,Lab Name,Test Date,License Number,Overall Status,Pesticides,Heavy Metals,Microbials,Residual Solvents,Moisture %,Total Cannabinoids %,Total Terpenes %,WordPress Status,Notes
COA-SW031725-J35-WZ,SW031725-J35-WZ,Testing Laboratory LLC,2025-03-17,C8-0000013-LIC,PASS,PASS,PASS,PASS,PASS,8.2,28.4,2.52,NOT-UPLOADED,Complete analysis
COA-SW042825-J35-PBG,SW042825-J35-PBG,Testing Laboratory LLC,2025-04-28,C8-0000013-LIC,PASS,PASS,PASS,PASS,PASS,7.8,28.0,3.54,NOT-UPLOADED,High terpene content
COA-SW031725-J35-SCP,SW031725-J35-SCP,Testing Laboratory LLC,2025-03-17,C8-0000013-LIC,PASS,PASS,PASS,PASS,PASS,8.5,24.7,2.94,NOT-UPLOADED,Clean results
COA-SW031725-J35-GG,SW031725-J35-GG,Testing Laboratory LLC,2025-03-17,C8-0000013-LIC,PASS,PASS,PASS,PASS,PASS,7.9,28.0,3.75,NOT-UPLOADED,High terpene profile
COA-SW3725J-GC,SW3725J-GC,Testing Laboratory LLC,2025-03-25,C8-0000013-LIC,PASS,PASS,PASS,PASS,PASS,8.1,25.5,2.12,NOT-UPLOADED,Sativa profile
COA-SW3725J-DNW,SW3725J-DNW,Testing Laboratory LLC,2025-03-25,C8-0000013-LIC,PASS,PASS,PASS,PASS,PASS,8.3,24.9,1.40,NOT-UPLOADED,Balanced cannabinoids
COA-SW042825-J35-SP,SW042825-J35-SP,Testing Laboratory LLC,2025-04-28,C8-0000013-LIC,PASS,PASS,PASS,PASS,PASS,7.6,33.6,3.94,NOT-UPLOADED,High potency batch
COA-SW063025-J35-MS,SW063025-J35-MS,Testing Laboratory LLC,2025-06-30,C8-0000013-LIC,PASS,PASS,PASS,PASS,PASS,8.0,35.2,2.61,NOT-UPLOADED,Premium sativa
COA-SW063025-J35-TB,SW063025-J35-TB,Testing Laboratory LLC,2025-06-30,C8-0000013-LIC,PASS,PASS,PASS,PASS,PASS,7.7,31.0,1.92,NOT-UPLOADED,Heavy indica
COA-H-040725-F3-41G,H-040725-F3-41G,Testing Laboratory LLC,2025-04-07,C8-0000013-LIC,PASS,PASS,PASS,PASS,PASS,8.4,28.8,2.11,NOT-UPLOADED,Hybrid profile
COA-PR-031725-WZ-1G,PR-031725-WZ-1G,Testing Laboratory LLC,2025-03-17,C8-0000013-LIC,PASS,PASS,PASS,PASS,PASS,8.2,28.4,2.52,NOT-UPLOADED,Pre-roll batch
COA-PR-042825-PBG-1G,PR-042825-PBG-1G,Testing Laboratory LLC,2025-04-28,C8-0000013-LIC,PASS,PASS,PASS,PASS,PASS,7.8,28.0,3.54,NOT-UPLOADED,Premium pre-roll
COA-HH-063025-MS-1G,HH-063025-MS-1G,Testing Laboratory LLC,2025-06-30,C8-0000013-LIC,PASS,PASS,PASS,PASS,PASS,7.5,39.1,2.1,NOT-UPLOADED,Hash hole premium
COA-HH-063025-TB-1G,HH-063025-TB-1G,Testing Laboratory LLC,2025-06-30,C8-0000013-LIC,PASS,PASS,PASS,PASS,PASS,7.9,36.6,1.75,NOT-UPLOADED,Hash hole indica
