Strain Name,Type,Genetics,Avg THC,Avg CBD,Avg CBG,Avg THCV,Avg Terp Total,Dom Terp 1,Dom Terp 1 %,Dom Terp 2,Dom Terp 2 %,Dom Terp 3,Dom Terp 3 %,Effects,Nose,Flavor,Status
Skyworld Wafflez,Indica,Apple Fritter x Stuff French Toast,28.5,0.7,0.9,0.1,2.8,b-Caryophyllene,0.76,Limonene,0.52,Myrcene,0.41,Relaxing Happy Comforting,Sweet pastry with subtle cinnamon and fruit undertones,Rich waffle batter with hints of maple syrup and vanilla,Active
Sherb Cream Pie,Hybrid,Sunset Sherbet x Gelato,24.7,0.5,0.8,0.2,2.9,Limonene,0.89,b-Caryophyllene,0.67,Linalool,0.45,Creative Euphoric Relaxed,Sweet sherbet aroma with creamy pie undertones,Fruity sherbet flavor with smooth creamy finish,Active
Stay Puft,Indica,Marshmallow OG x Unknown,25.9,0.6,0.8,0.1,2.4,Myrcene,0.74,Linalool,0.52,b-Caryophyllene,0.41,Sleepy Relaxed Happy,Sweet marshmallow aroma with vanilla undertones,Creamy marshmallow flavor with subtle vanilla notes,Active
Garlic Gravity,Indica,GMO x Gravity,28.0,0.3,1.0,0.1,3.7,b-Caryophyllene,0.91,Myrcene,0.76,Limonene,0.54,Heavy Relaxed Sleepy,Pungent garlic aroma with earthy undertones,Strong garlic flavor with earthy and spicy finish,Active
Melted Strawberries,Sativa,Strawberry x Unknown Sativa,35.2,0.3,0.8,0.4,2.6,Limonene,1.12,Pinene,0.68,b-Caryophyllene,0.54,Uplifting Energetic Happy,Sweet strawberry aroma with melted candy notes,Fresh strawberry flavor with sweet candy finish,Active
Dirt n Worms,Hybrid,Unknown Genetics,24.9,0.6,0.4,0.1,1.4,b-Caryophyllene,0.45,Myrcene,0.38,Limonene,0.32,Balanced Mellow Relaxed,Earthy soil aroma with chocolate undertones,Rich earthy flavor with chocolate and coffee notes,Active
41 G,Hybrid,Unknown Genetics F3 Generation,26.1,0.5,0.7,0.2,2.6,b-Caryophyllene,0.71,Myrcene,0.58,Pinene,0.42,Balanced Creative Relaxed,Complex earthy aroma with floral and spice notes,Sophisticated earthy flavor with herbal complexity,Active
White Apple Runtz,Hybrid,White Runtz x Apple Fritter,29.8,0.4,0.9,0.2,3.1,Limonene,0.94,b-Caryophyllene,0.68,Myrcene,0.52,Happy Euphoric Creative,Sweet apple aroma with candy undertones,Crisp apple flavor with sweet candy finish,Active
Superboof,Indica,Black Cherry Punch x Tropicana Cookies,31.0,0.2,0.9,0.1,2.8,Myrcene,0.89,b-Caryophyllene,0.76,Limonene,0.43,Relaxed Sleepy Euphoric,Sweet cherry aroma with tropical fruit notes,Rich cherry flavor with tropical undertones,Active
Charmz,Hybrid,Rainbow Sherbet x Zkittlez,27.2,0.5,0.8,0.3,3.2,Limonene,0.88,Linalool,0.62,b-Caryophyllene,0.58,Creative Happy Uplifting,Fruity candy aroma with rainbow notes,Sweet candy flavor with fruity rainbow finish,Active
Gushcanna,Hybrid,Gushers x Tropicana,25.5,0.4,0.6,0.2,2.1,Limonene,0.72,b-Caryophyllene,0.54,Myrcene,0.41,Balanced Euphoric Relaxed,Tropical fruit aroma with citrus notes,Sweet tropical flavor with citrus burst,Active
Stay Melo #7,Hybrid,Unknown Genetics,26.8,0.5,0.7,0.2,2.3,b-Caryophyllene,0.78,Myrcene,0.65,Limonene,0.47,Mellow Relaxed Creative,Smooth mellow aroma with subtle earth notes,Balanced mellow flavor with gentle finish,Active
Triple Burger,Indica,Burger Special x GMO,31.0,0.2,0.9,0.1,1.9,Myrcene,0.76,b-Caryophyllene,0.68,Pinene,0.41,Heavy Relaxed Sleepy,Savory burger aroma with garlic notes,Rich savory flavor with umami undertones,Active
Lemon Oreoz,Hybrid,Lemon Tree x Oreo Cookies,26.8,0.5,0.7,0.2,2.8,Limonene,0.89,b-Caryophyllene,0.62,Linalool,0.48,Creative Relaxed Happy,Bright lemon aroma with cookie dough notes,Zesty lemon flavor with sweet cookie finish,Active
Kept Secret,Indica,Secret Weapon x Unknown,24.2,0.8,0.6,0.1,2.2,Myrcene,0.68,b-Caryophyllene,0.52,Pinene,0.38,Sleepy Relaxed Euphoric,Mysterious earthy aroma with sweet undertones,Complex earthy flavor with hidden sweetness,Active
Peanut Butter Gelato,Hybrid,Peanut Butter Breath x Gelato,28.0,0.5,0.8,0.2,3.5,b-Caryophyllene,0.89,Limonene,0.67,Linalool,0.45,Creative Euphoric Relaxed,Nutty peanut butter aroma with creamy gelato notes,Rich peanut butter flavor with smooth gelato finish,Active
